system:index,FloodClass,FloodRisk,NDWI,elevation,slope,.geo
1208,1,0.04212523821016018,-0.26357615,13,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21484571478533,24.228370875729638]}"
1209,1,0.07360180703452726,-0.26879638,14,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21646268229671,24.228370875729638]}"
1210,1,-0.05902657377454275,-0.49095675,15,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.22077459566049,24.228370875729638]}"
1211,1,0.050552474454506155,-0.22551547,14,2.2344897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14208217677162,24.2281013811444]}"
1212,1,0.05348202429296327,-0.22565636,13,2.2344897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1472025738911,24.2281013811444]}"
1213,1,0.028805915465086554,-0.27705628,14,2.0332973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1501670143287,24.2281013811444]}"
1214,1,-0.022772336170367776,-0.43886593,11,1.0169688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15205347642535,24.2281013811444]}"
1215,0,-0.155740106473061,-0.69880146,12,1.0169688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15501791686296,24.2281013811444]}"
1216,0,-0.13022914757103574,-0.7004583,10,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15582640061865,24.2281013811444]}"
1217,0,-0.194740847010262,-0.68405,13,3.185792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15744336813009,24.2281013811444]}"
1218,0,-0.14270003266412704,-0.6967213,8,1.0169688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15798235730057,24.2281013811444]}"
1219,0,-0.18984472316419576,-0.7183099,12,2.2344897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1604078085677,24.2281013811444]}"
1220,0,-0.08725225643410228,-0.5594561,10,1.3762099,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16337224900525,24.2281013811444]}"
1221,1,0.02023737980925833,-0.36242884,10,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1746910215852,24.2281013811444]}"
1222,1,0.08101225780941085,-0.27797547,10,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17496051617042,24.2281013811444]}"
1223,0,-0.162674755992746,-0.6879699,8,2.2344897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1795419241194,24.2281013811444]}"
